Name,ID,level,maxlevel,levelreq,classspecific,class,classlevelreq,mod1code,itype1,itype2,itype3,itype4,itype5,itype6,itype7,etype1,etype2,etype3,etype4,etype5
,747,,,,,,,,,,,,,,,,,,,
Sturdy,748,4,,3,,,,ac%,armo,,,,,,,,,,,
Strong,749,9,,6,,,,ac%,armo,,,,,,,,,,,
Glorious,750,19,,14,,,,ac%,armo,,,,,,,,,,,
Blessed,751,25,,18,,,,ac%,armo,,,,,,,,,,,
Saintly,752,31,,23,,,,ac%,armo,,,,,,,,,,,
Holy,753,36,,27,,,,ac%,armo,,,,,,,,,,,
Devious,754,7,,5,,,,red-mag,shld,,,,,,,,,,,
Fortified,755,14,,10,,,,red-mag,shld,,,,,,,,,,,
,756,,,,,,,,,,,,,,,,,,,
,757,,,,,,,,,,,,,,,,,,,
,758,,,,,,,,,,,,,,,,,,,
Jagged,759,1,,1,,,,dmg%,weap,,,,,,,,,,,
Deadly,760,5,,3,,,,dmg%,weap,,,,,,,,,,,
Vicious,761,8,,6,,,,dmg%,weap,,,,,,,,,,,
Brutal,762,14,,10,,,,dmg%,weap,,,,,,,,,,,
Massive,763,20,,15,,,,dmg%,weap,,,,,,,,,,,
Savage,764,26,,19,,,,dmg%,weap,,,,,,,staf,wand,,,
Merciless,765,32,,24,,,,dmg%,weap,,,,,,,staf,wand,,,
Vulpine,766,9,,6,,,,dmg-to-mana,shld,amul,,,,,,,,,,
,767,,,,,,,,,,,,,,,,,,,
,768,,,,,,,,,,,,,,,,,,,
,769,,,,,,,,,,,,,,,,,,,
,770,,,,,,,,,,,,,,,,,,,
Tireless,771,14,,10,,,,regen-stam,boot,,,,,,,,,,,
Rugged,772,14,,10,,,,stam,boot,glov,belt,ring,amul,,,,,,,
Bronze,773,1,,1,,,,att,weap,ring,glov,amul,,,,,,,,
Iron,774,4,,3,,,,att,weap,ring,,,,,,,,,,
Steel,775,8,,6,,,,att,weap,ring,,,,,,,,,,
Silver,776,12,,9,,,,att,weap,ring,,,,,,,,,,
,777,,,,,,,,,,,,,,,,,,,
Gold,778,17,,12,,,,att,weap,,,,,,,,,,,
Platinum,779,22,,16,,,,att,weap,ring,,,,,,,,,,
Meteoric,780,27,,20,,,,att,weap,ring,,,,,,staf,wand,,,
Sharp,781,5,,3,,,,att,weap,,,,,,,,,,,
Fine,782,9,,6,,,,att,weap,,,,,,,,,,,
Warrior's,783,15,,11,,,,att,weap,,,,,,,,,,,
Soldier's,784,21,,15,,,,att,weap,,,,,,,,,,,
Knight's,785,25,,18,,,,att,weap,,,,,,,,,,,
Lord's,786,30,,22,,,,att,weap,,,,,,,staf,wand,,,
King's,787,35,,26,,,,att,weap,,,,,,,staf,wand,,,
Howling,788,16,,12,,,,howl,weap,,,,,,,miss,,,,
Fortuitous,789,5,,3,,,,mag%,ring,amul,,,,,,,,,,
,790,,,,,,,,,,,,,,,,,,,
,791,,,,,,,,,,,,,,,,,,,
,792,,,,,,,,,,,,,,,,,,,
,793,,,,,,,,,,,,,,,,,,,
,794,,,,,,,,,,,,,,,,,,,
Glimmering,795,1,,1,,,,light,armo,wand,staf,ring,amul,,,,,,,
Glowing,796,6,,4,,,,light,armo,wand,staf,ring,amul,,,,,,,
,797,,,,,,,,,,,,,,,,,,,
,798,,,,,,,,,,,,,,,,,,,
Lizard's,799,3,,2,,,,mana,armo,ring,amul,rod,,,,boot,glov,,,
,800,,,,,,,,,,,,,,,,,,,
