name,ID,itype1,itype2,itype3,itype4,itype5,itype6,itype7,etype1,etype2,etype3,etype4
bite,1,swor,knif,spea,pole,axe,h2h,,,,,
scratch,2,swor,knif,spea,pole,h2h,,,,,,
scalpel,3,swor,knif,,,,,,,,,
fang,4,swor,knif,spea,pole,,,,,,,
gutter,5,swor,knif,spea,pole,,,,,,,
thirst,6,swor,knif,spea,pole,axe,h2h,,,,,
razor,7,swor,knif,axe,h2h,,,,,,,
scythe,8,swor,axe,pole,,,,,,,,
edge,9,swor,knif,axe,,,,,,,,
saw,10,swor,,,,,,,,,,
splitter,11,axe,mace,club,hamm,,,,,,,
cleaver,12,swor,axe,,,,,,,,,
sever,13,swor,axe,,,,,,,,,
sunder,14,axe,,,,,,,,,,
rend,15,axe,,,,,,,,,,
mangler,16,axe,mace,club,hamm,,,,,,,
slayer,17,axe,,,,,,,,,,
reaver,18,axe,,,,,,,,,,
spawn,19,axe,hamm,,,,,,,,,
gnash,20,axe,club,hamm,,,,,,,,
star,21,mace,hamm,scep,wand,,,,,,,
blow,22,mace,club,hamm,scep,,,,,,,
smasher,23,mace,club,hamm,scep,,,,,,,
Bane,24,mace,scep,wand,,,,,,,,
crusher,25,mace,club,hamm,scep,,,,,,,
breaker,26,mace,club,hamm,scep,,,,,,,
grinder,27,mace,club,hamm,scep,,,,,,,
crack,28,mace,club,hamm,scep,wand,,,,,,
mallet,29,hamm,club,,,,,,,,,
knell,30,mace,club,scep,wand,,,,,,,
lance,31,spea,pole,,,,,,,,,
spike,32,swor,knif,spea,pole,,,,,,,
impaler,33,swor,knif,spea,pole,,,,,,,
skewer,34,swor,knif,spea,,,,,,,,
prod,35,spea,pole,,,,,,,,,
scourge,36,spea,pole,,,,,,,,,
wand,37,wand,,,,,,,,,,
wrack,38,spea,pole,,,,,,,,,
barb,39,swor,knif,axe,spea,pole,h2h,,,,,
needle,40,swor,knif,spea,miss,,,,,,,
dart,41,spea,miss,,,,,,,,,
bolt,42,miss,jave,,,,,,,,,
